stock,taxa,variable,year,mean,sd,lower,upper,status
Callista.chione,Callista chione,b_div_bmsy,2018,0.962243591676466,0.168704174797221,0.741109113810076,1.25255093592131,fully fished
Bivalvia,Bivalvia,b_div_bmsy,2018,1.00297623961349,0.218500794743362,0.703196587697589,1.43243259854122,fully fished
Cardiidae,Cardiidae,b_div_bmsy,2018,0.969974761770256,0.230467582273908,0.673265302115705,1.41723085736821,fully fished
Chamelea.gallina,Chamelea gallina,b_div_bmsy,2018,1.16401285756126,0.208103287815208,0.82671415809209,1.59861705830715,fully fished
