Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Callista.chione,2006,1.52346748448117,0.955452166231383,1.52346748448117,0.955452166231383
Callista.chione,2007,1.20792480827861,1.0196087234219,1.20792480827861,1.0196087234219
Callista.chione,2008,1.16067441910161,0.955749210376202,1.16067441910161,0.955749210376202
Callista.chione,2009,1.20483939057398,1.07848877184258,1.20483939057398,1.07848877184258
Callista.chione,2010,1.05346474658499,1.05932375993381,1.05346474658499,1.05932375993381
Callista.chione,2011,1.03931603976933,1.09037221835951,1.03931603976933,1.09037221835951
Callista.chione,2012,0.976238462130699,0.973594579712526,0.976238462130699,0.973594579712526
Callista.chione,2013,0.985672612709635,1.10925459555456,0.985672612709635,1.10925459555456
Callista.chione,2014,0.874588996144867,0.979595840835022,0.874588996144867,0.979595840835022
Callista.chione,2015,0.8762420221658,1.02250123050882,0.8762420221658,1.02250123050882
Callista.chione,2016,0.899360693632862,1.04868852673859,0.899360693632862,1.04868852673859
Callista.chione,2017,0.904279762674321,0.865110683391827,0.904279762674321,0.865110683391827
Callista.chione,2018,0.962243591676466,1.12659276433514,0.962243591676466,1.12659276433514
Bivalvia,1988,1.40293929926266,0.0825047869860656,1.40293929926266,0.0825047869860656
Bivalvia,1989,1.22369622614933,0.0790398284163793,1.22369622614933,0.0790398284163793
Bivalvia,1990,1.36845198912032,0.0961182357878344,1.36845198912032,0.0961182357878344
Bivalvia,1991,1.62362792478308,0.10823190487982,1.62362792478308,0.10823190487982
Bivalvia,1992,1.94630225390461,0.114752658685383,1.94630225390461,0.114752658685383
Bivalvia,1993,2.19874467087273,0.121358793308175,2.19874467087273,0.121358793308175
Bivalvia,1994,2.5667558633043,0.120664697694459,2.5667558633043,0.120664697694459
Bivalvia,1995,2.700268381645,0.130415998267517,2.700268381645,0.130415998267517
Bivalvia,1996,2.59578511686344,0.139043510818621,2.59578511686344,0.139043510818621
Bivalvia,1997,2.5604670477766,0.112193784838705,2.5604670477766,0.112193784838705
Bivalvia,1998,2.44990458328146,0.13071508080879,2.44990458328146,0.13071508080879
Bivalvia,1999,1.89517202461944,0.105725966623569,1.89517202461944,0.105725966623569
Bivalvia,2000,1.64100440823216,0.0914825179768453,1.64100440823216,0.0914825179768453
Bivalvia,2001,1.51892583071343,0.0906950771004691,1.51892583071343,0.0906950771004691
Bivalvia,2002,1.64744548536046,0.10938175084341,1.64744548536046,0.10938175084341
Bivalvia,2003,1.41132569501664,0.0951865560415846,1.41132569501664,0.0951865560415846
Bivalvia,2004,1.31826800120621,0.0903316943913806,1.31826800120621,0.0903316943913806
Bivalvia,2005,1.3579654045219,0.109194056129156,1.3579654045219,0.109194056129156
Bivalvia,2006,1.20752189603059,0.102682986603218,1.20752189603059,0.102682986603218
Bivalvia,2007,1.03974881383509,0.123552998047499,1.03974881383509,0.123552998047499
Bivalvia,2008,0.945715038963651,0.124525935878531,0.945715038963651,0.124525935878531
Bivalvia,2009,0.751295066312748,0.101193509422181,0.751295066312748,0.101193509422181
Bivalvia,2010,0.666129139304537,0.168235064465606,0.666129139304537,0.168235064465606
Bivalvia,2011,0.435485651442592,0.0936317627477573,0.435485651442592,0.0936317627477573
Bivalvia,2012,0.386680550401306,0.0868541436996307,0.386680550401306,0.0868541436996307
Bivalvia,2013,0.453931366415482,0.10798556666431,0.453931366415482,0.10798556666431
Bivalvia,2014,0.588742516494949,0.129431049779383,0.588742516494949,0.129431049779383
Bivalvia,2015,0.666725057574689,0.117843417619081,0.666725057574689,0.117843417619081
Bivalvia,2016,0.787266208726259,0.15415534098747,0.787266208726259,0.15415534098747
Bivalvia,2017,0.897606544300368,0.0691657904287683,0.897606544300368,0.0691657904287683
Bivalvia,2018,1.00297623961349,0.0598885811017955,1.00297623961349,0.0598885811017955
Cardiidae,2006,1.50514412598034,0.588790091460258,1.50514412598034,0.588790091460258
Cardiidae,2007,1.02033103976815,0.337771511368589,1.02033103976815,0.337771511368589
Cardiidae,2008,1.16077109164542,0.50898002427025,1.16077109164542,0.50898002427025
Cardiidae,2009,0.915525448131012,0.416770871118414,0.915525448131012,0.416770871118414
Cardiidae,2010,0.79978953754625,0.492470640222419,0.79978953754625,0.492470640222419
Cardiidae,2011,0.596031355478813,0.474968505510199,0.596031355478813,0.474968505510199
Cardiidae,2012,0.435696735252142,0.395503029417152,0.435696735252142,0.395503029417152
Cardiidae,2013,0.339924420059274,0.289676794572388,0.339924420059274,0.289676794572388
Cardiidae,2014,0.408105324657797,0.180961035883719,0.408105324657797,0.180961035883719
Cardiidae,2015,1.22540381463898,0.863824082845768,1.22540381463898,0.863824082845768
Cardiidae,2016,0.98120187984786,0.777748894259765,0.98120187984786,0.777748894259765
Cardiidae,2017,0.9041465507668,0.0544536813839186,0.9041465507668,0.0544536813839186
Cardiidae,2018,0.969974761770256,0.241101132902009,0.969974761770256,0.241101132902009
Chamelea.gallina,1951,1.20400252885302,0.0120679185347178,1.20400252885302,0.0120679185347178
Chamelea.gallina,1952,0.718780397943053,0.0202145251531242,0.718780397943053,0.0202145251531242
Chamelea.gallina,1953,0.548527331394871,0.0273165254760332,0.548527331394871,0.0273165254760332
Chamelea.gallina,1954,0.520114035475966,0.0366657444687124,0.520114035475966,0.0366657444687124
Chamelea.gallina,1955,0.492516360055617,0.0451736527832949,0.492516360055617,0.0451736527832949
Chamelea.gallina,1956,0.514760128690042,0.0414574654731714,0.514760128690042,0.0414574654731714
Chamelea.gallina,1957,0.523062685681235,0.0425355576841961,0.523062685681235,0.0425355576841961
